doc_number,corp_name,status,filing_type,address_1,address_2,city,state,zip_code,file_date,fei_number,registered_agent,ra_city,ra_state,officer_1_title,officer_1_name,officer_2_title,officer_2_name,officer_3_title,officer_3_name,source_file
L26000175190,TRIBB N MANAGEMENT SERVICES LLC,A,FLAL,10649 MASTERS DRIVE,,CLERMONT,,34711,03262026,,TRIBBETT            EUNICE        D,CLERMONT,FL,MGR,TRIBBETT            EUNICE        D,,,,,20260403_corporate.txt
L26000175200,EL FLACO MULTISERVICES LLC,A,FLAL,1868NW 112TH ST,,MIAMI,,33167,04012026,,ALZOLAR MARTINEZ    ENGERL,MIAMI,FL,MGR,ALZOLAR MARTI       ENGERL,,,,,20260403_corporate.txt
L26000175210,ANSER PROPERTY LLC,A,FLAL,225 E ROBINSON STREET,SUITE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR,DELBEN SILVA        ANDRE PAULO,MGR,PEDREIRA MAGALHAES  VICTOR,MGR,REBOUCAS DE MELO    RAFAEL,20260403_corporate.txt
L26000175220,PIZZERIA DONA TATA 2 LLC,A,FLAL,2805 N JEFFERSON ST,,TAMPA,,33602,03252026,,O'FARRILL DIAZ      KABIR,TAMPA,FL,AMBR,O'FARRILL DIAZ      KABIR          AMBR,,,,,20260403_corporate.txt
L26000175230,PINECREST PROPERTY 295 LLC,A,FLAL,295 SW 4TH AVE,,POMPANO BEACH,,33060,03302026,,SCARIA              SHIBU,PARKLAND,FL,MGR,SCARIA              SHIBU,,,,,20260403_corporate.txt
L26000175240,FREDERICI GLADII PROPERTY LLC,A,FLAL,225 E ROBINSON STREET,STE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR,DELBEN SILVA        ANDRE PAULO,MGR,REBOUCAS DE MELO    RAFAEL,MGR,PEDREIRA MAGALHAES  VICTOR,20260403_corporate.txt
L26000175250,"JJTT76, LLC",A,FLAL,10543 SEVERINO LANE,,FORT MYERS,,33913,03252026,,"SIMMONS & COOK, PLLC",FORT MYERS,FL,AMBR,ATTEBERRY           PHILIP,AR,ATTEBERRY           WENDY,AR,ATTEBERRY           JENNIFER,20260403_corporate.txt
L26000175260,ZALDIVAR CONSTRUCTION LLC,A,FLAL,6204 REGIMEN DR,,JACKSONVILLE,,32277,03252026,,ZALDIVAR HERNANDEZ  YORDANIS,JACKSONVILLE,FL,P,ZALDIVAR HERNANDEZ  YORDANIS,,,,,20260403_corporate.txt
L26000175270,"STANDARD HEALTH AGENCY, LLC",A,FLAL,321 NORTHLAKE BOULEVARD,,NORTH PALM BEACH,,33408,03262026,,ZUCKERBERG          MICHAEL       D,WEST PALM BEACH,FL,AMBR,DASHTIZADEH         ANTHONY       K,AMBR,ZUCKERBERG          MICHAEL       D,,,20260403_corporate.txt
L26000175280,IMPACT CHIROPRACTIC LLC,A,FLAL,65 MARSH LANDING N,,FREEPORT,,32439,03262026,,BARRON              NEIL          T,FREEPORT,FL,CEO,BARRON              NEIL          T,COO,BARRON              SAVANNAH      W,,,20260403_corporate.txt
L26000175290,GCDB LLC,A,FLAL,120 SALAMANCA AVE,APT 2A,CORAL GABLES,,33134,03262026,,STULA               NICHOLAS,CORAL GABLES,FL,AMBR,STULA               NICHOLAS,,,,,20260403_corporate.txt
L26000175300,"DVI AGENCY, LLC",A,FLAL,321 NORTHLAKE BOULEVARD,216,NORTH PALM BEACH,,33408,03262026,,ZUCKERBERG          MICHAEL       D,WEST PALM BEACH,FL,AMBR,DASHTIZADEH         ANTHONY       K,AMBR,ZUCKERBERG          MICHAEL       D,,,20260403_corporate.txt
L26000175310,SOLIS PONIATOVII PROPERTY LLC,A,FLAL,225 E ROBINSON STREET,STE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR,DELBEN SILVA        ANDRE PAULO,MGR,REBOUCAS DE MELO    RAFAEL,MGR,PEDREIRA MAGALHAES  VICTOR,20260403_corporate.txt
L26000175320,INFINITY JET GROUP LLC,A,FLAL,"16385 BISCAYNE BLVD, UNIT 2318",,NORTH MIAMI BEACH,,33160,03262026,,ZENBUSINESS INC.,TALLAHASSEE,FL,AMBR,GRULLON             STEVEN        E,,,,,20260403_corporate.txt
L26000175330,GOLDEN YEARS SENIOR FITNESS LLC,A,FLAL,865 SE 1ST ST,,BELLE GLADE,,33430,03262026,,JC TAX SOLUTIONS CORP,BELLE GLADE,FL,AMBR,DEL CAMPO           ANNIEL,,,,,20260403_corporate.txt
L26000175340,GREEN HAVEN LANDSCAPING LLC,A,FLAL,4717 DRAGON STREET,,NORTH PORT,,34288,03262026,,ZENBUSINESS INC.,TALLAHASSEE,FL,AMBR,JN BAPTISTE         MISLANDE,AMBR,JEAN BAPTITE        SANSARICK,,,20260403_corporate.txt
L26000175350,REDDY CREATIVE CLEANING SERVICE LLC,A,FLAL,6625 ARGYLE FOREST BLVD,SUITE 4 PMB 3225,JACKSONVILLE,,32244,03262026,,HINES               KATRELL       L,JACKSONVILLE,FL,MGR,HINES               KATRELL       L,,,,,20260403_corporate.txt
P26000017390,CANTAREIRA BRAZILLIAN BBQ CORP,A,DOMP,1711 AMAZING WAY STE 213,,OCOEE,,34761,04022026,,MEDEIROS SOUZA CORP,OCOEE,FL,DIR,SANTOS DE ARAUJO    GUILHERME,DIR,ALVES DE ARAUJO     LEANDRO,,,20260403_corporate.txt
L26000175360,JAY'S TOWING AND TRANSPORTATION LLC,A,FLAL,1817 7TH AVE N,B5,LAKE WORTH,,33461,03262026,,PAPERWORX USA INC,WEST PALM BEAC,FL,MGR,ALEXANDER           JASON,MGR,CASIANO             ODALIS,,,20260403_corporate.txt
L26000175370,MORGUE MOUNTS LLC,A,FLAL,14314 ANDERSON ST,,DADE CITY,,33523,03262026,,HATSIDIMOU          KATRINA,DADE CITY,FL,AMBR,HATSIDIMOU          KATRINA,,,,,20260403_corporate.txt
L26000175380,REFRESH CONSULTING AND SERVICES LLC,A,FLAL,17155 PRADO BLVD,,LOXAHATCHEE,,33470,03262026,,RODRIGUEZ           ISAAC,LOXAHATCHEE,FL,MGR,RODRIGUEZ           ISAAC,AP,RODRIGUEZ           AVETEI,,,20260403_corporate.txt
N26000004530,"CREEKSIDE ESTATES HOA, INC.",A,DOMNP,"14701 PHILIPS HWY, STE 300",,JACKSONVILLE,,32256,04022026,,RIVA                ROBERT        EJR,JACKSONVILLE,FL,DIR,DEAHL               ROBERT        A,DIR,COWLING             LOUIS,DIR,MINIARD             LARSON        G,20260403_corporate.txt
L26000175390,HENRY CLEANING SOLUTIONS LLC,A,FLAL,2070 ONEIDA COURT,,DELTONA,,32738,03262026,,SCOTT AND ASSOCIATES ACCOUNTING FIRM INC,APOPKA,FL,MGR,HENRY               DENA,,,,,20260403_corporate.txt
F26000001980,"KEEPRIGHT REFRIGERATION, INC.",A,FORP,6032 ALLLIANCE WAY,,KILGORE,,75662,04022026,261381015,C T CORPORATION SYSTEM,PLANTATION,FL,PD,REILLY              JOHN          HIII,AS,LEONARD             KEITH         N,GM,XU                  FRANK,20260403_corporate.txt
M26000005210,"TECH ORCHARD, LLC",A,FORL,5110 W. 164TH TERR,,OVERLAND PARK,,66085,03092026,452047820,TROELSTRUP          MICHAEL        JR,NAPLES,FL,MGR,POJE                PHILIP        A,MBR,POJE                PHILIP        A,AP,POJE                PHILIP        A,20260403_corporate.txt
L26000175400,AXIS & ASSEMBLY LLC,A,FLAL,4410 ROUND LAKE CT,,TAMPA,,33618,03242026,,BROOKS              CHAD          M,"TAMPA,",FL,MGR,BROOKS              CHAD          M,,,,,20260403_corporate.txt
L26000175410,PALM & PINE INVESTMENTS LLC,A,FLAL,706 STONEWOOD CT,18C,JUPITER,,33458,03262026,,KARWOSKI            JESSICA,JUPITER,FL,AR,KARWOSKI            JESSICA,,,,,20260403_corporate.txt
P26000017400,SUNNY ACRE DEVELOPMENT CORP.,A,DOMP,5600 NORTH FEDERAL HIGHWAY,,FORT LAUDERAL,,33308,04012026,,LYNN                MARK          JESQ,FORT LAUDERDALE,FL,PRES,FIDEI               NICHOLAS,,,,,20260403_corporate.txt
L26000175420,SE INVESTMENTS MANAGER LLC,A,FLAL,2108 SW 23RD TER,,MIAMI,,33145,03192026,,PEREZ               ESTEBAN,MIAMI,FL,MGR,PEREZ               ESTEBAN,,,,,20260403_corporate.txt
L26000175430,"KERF COLLECTIVE, LLC",A,FLAL,123 SW 6TH AVENUE,,HOMESTEAD,,33030,03252026,,BOYLE               CONRAD        J,FORT LAUDERDALE,FL,MGR,THOMAS              J. CLAYTON,MGR,SILVA               ALLAN,MGR,GALEA               MICHAEL,20260403_corporate.txt
P26000017410,M&C IMPORTADOS CORP,A,DOMP,3049 GETTY WAY UNIT  207,,ORLANDO,,32835,03272026,,CLAUDIA LIMA TAX & ACCOUNTING LLC,ORLANDO,FL,P,LORENSETTI          MARCO A.,,,,,20260403_corporate.txt
L26000175440,EAST ONE COLLECTIVE LLC,A,FLAL,3940 NW 79TH AVE,APT 722,DORAL,,33166,03262026,,MATA                ADRIANA,DORAL,FL,AMBR,MATA                ADRIANA,,,,,20260403_corporate.txt
N26000004540,"THE VILLAGE AT HUNTERS CREEK BUILDING, INC.",A,DOMNP,711 N. ORLANDO AVE,SUITE 302,MAITLAND,,32751,03272026,,GREENSPOON MARDER LLP,ORLANDO,FL,COBP,ARATO               FRANCESCO,DVPS,RAMOS               MARCIO,DTVS,MARTIN              ALDO          D,20260403_corporate.txt
L26000175450,DDCCKK LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,REGISTERED AGENTS INC,ST. PETERSBURG,FL,,,,,,,20260403_corporate.txt
P26000017420,HERNANDEZ FLOORING SWFL INC,A,DOMP,1154 NUNA AVE,,FORT MYERS,,33905,03272026,,HERNANDEZ RODRIGUEZ JORGE ANTONIO,FORT MYERS,FL,P,HERNANDEZ RODRIGUEZ JORGE ANTONIO,,,,,20260403_corporate.txt
P26000017430,STORM SYSTEM COMPLIANCE CORPORATION INC.,A,DOMP,1390 WEST LAKE SHORE DRIVE,,CLERMONT,,34711,03272026,,"CRAWFORD, MODICA & HOLT, CHARTERED ATTORNE",CLERMONT,FL,D,SHAFER              STEPHEN       A,D,SMITH               CHRISTOPHER   K,D,FROSCHER            J. JUSTIN     P,20260403_corporate.txt
L26000175460,PLUMBER AROUND ME LLC,A,FLAL,6499 NE SEVENTH AVE,APT. #2,BOCA RATON,,33487,03262026,,DUQUE               KEVIN         KSR.,BOCA RATON,FL,MGR,DUQUE               KEVIN         KSR.,,,,,20260403_corporate.txt
P26000017440,PJHDHDN INC,A,DOMP,15 TOWER MANOR DR,,AUBURNDALE,,33823,03272026,,RIOS                KARYSHA,AUBURNDALE,FL,PDST,RIOS                KARYSHA,,,,,20260403_corporate.txt
L26000175470,LQ INVESTMENTS PORTFOLIO 21 LLC,A,FLAL,2031 HARRISON ST,,HOLLYWOOD,,33020,03262026,,FRIEDMAN            BRENT A.,MIAMI,FL,MGR,DANIELLOU           ROMAIN,MGR,GUEANT              THIBAUT,,,20260403_corporate.txt
P26000017450,MILES COURIER INC,A,DOMP,10005 COBBLESTONE CREEK DR,,BOYNTON BEACH,,33472,03222026,,ALI                 ANTHONY,BOYNTON BEACH,FL,VP,ALI                 ANTHONY,VP,ALI                 ANTHONY,VP,ALI                 ANTHONY,20260403_corporate.txt
L26000175480,HIGHER LIFE TRAVEL HEALTH L.L.C.,A,FLAL,"2125 BISCAYNE BLVD, STE 204 #25622",,MIAMI,,33137,03262026,,REPUBLIC REGISTERED AGENT LLC,JACKSONVILLE,FL,AMBR,EDWARDS             KANDICE,,,,,20260403_corporate.txt
L26000175490,APEX FIELD RESEARCH LLC,A,FLAL,6281 39TH STREET NORTH,,PINELLAS PARK,,33781,03262026,,VONDERHEIDE         NIKOLAUS,ST. PETERSBURG,FL,AMBR,BURROUGHS           ELIJAH,AMBR,SEIP                JARED,AMBR,VONDERHEIDE         NIKOLAUS,20260403_corporate.txt
P26000017460,APGRMYW INC,A,DOMP,1251 FIELDSTONE AVE,,DELTONA,,32725,03272026,,MOREAU              RASHIA,DELTONA,FL,PDST,MOREAU              RASHIA,,,,,20260403_corporate.txt
L26000175500,MIPTAG ATHLETECH MANUFACTURING LLC,A,FLAL,66 WEST FLAGLER STREET,SUIT 900,MIAMI,,33130,03262026,,ZENBUSINESS INC.,TALLAHASSEE,FL,AMBR,LABS                UNIT 52,AMBR,GRANT               XAN,,,20260403_corporate.txt
L26000175510,RIVERO LIFT SERVICES LLC,A,FLAL,349 34TH AVE DR E,,BRADENTON,,34208,03262026,,RIVERO FLORES       JUAN          R,BRADENTON,FL,MGR,RIVERO FLORES       JUAN          R,,,,,20260403_corporate.txt
P26000017470,YVONCHIE'S CORP.,A,DOMP,360 NE 170 STREET,,NORTH MIAMI BEACH,,33162,04012026,,JOSEPH              SYLVANOCHI,NORTH MIAMI BEACH,FL,P,JOSEPH              SYLVANOCHI,VP,JOSEPH              SYLVANOCHI,,,20260403_corporate.txt
L26000175520,MONACO 28 INVESTMENTS LLC,A,FLAL,2445 S HIAWASSEE RD. UNIT 1065,,ORLANDO,,32835,03262026,,REPUBLIC REGISTERED AGENT LLC,JACKSONVILLE,FL,AMBR,HUNG CHENG          BELINO,,,,,20260403_corporate.txt
L26000175530,LAGUERRE CONSULTING GROUP LLC,A,FLAL,1015 NW 7TH ST,,BOYNTON BEACH,,33426,03262026,,LAGUERRE            LENNY,BOYNTON BEACH,FL,MGR,LAGUERRE            LENNY,,,,,20260403_corporate.txt
P26000017480,JCM IMPROVEMENT AND SOLUTIONS INC,A,DOMP,2271 NW,159 AVE,PEMBROKE PINES,,33028,03272026,,MARIN               JUAN CARLOS,PEMBROKE PINES,FL,P,MARIN               JUAN CARLOS,,,,,20260403_corporate.txt
L26000175540,DEL REY BARBER STUDIO LLC,A,FLAL,4961 W. ATLANTIC AVE,SUITE 37,DELRAY BEACH,,33445,03262026,,ORNELAS             BENJAMIN,DELRAY BEACH,FL,MGR,ORNELAS             MELISSA,,,,,20260403_corporate.txt
P26000017490,"REVIVE SPINE AND SPORTS INSTITUTE, P.A.",A,DOMP,5877 HAMMOCK ISLES CIRCLE,,NAPLES,,34119,03272026,,MAZZAGATTI          FRANK         AESQ.,FT. LAUDERDALE,FL,P,VIGNA               FRANCO        EM.D.,,,,,20260403_corporate.txt
L26000175550,GSD ACQUISITION LLC,A,FLAL,2121 PONCE DE LEON BLVD,SUITE 250,CORAL GABLES,,33134,03252026,,HERMAN              DAVID          SR,CORAL GABLES,FL,MGR,HERMAN              DAVID          SR,MGR,GARCIA              PABLO,,,20260403_corporate.txt
L26000175560,"ROSIE IS LIVING PURE, LLC",A,FLAL,6961 RAMOTH DR,,JACKSONVILLE,,32226,03212026,,NEWTON              AMIEE,JACKSONVILLE,FL,MGR,NEWTON              AMIEE,,,,,20260403_corporate.txt
L26000175570,THE 90TH REFERRAL NETWORK LLC,A,FLAL,7284 W. PALMETTO PARK RD.,#101,BOCA RATON,,33433,03262026,,MOONILAL            LARRY,DEERFIELD BEACH,FL,MGR,MOONILAL            LARRY,MGR,MOONILAL            SAVITRI,,,20260403_corporate.txt
N26000004550,"PUENTES DE SUENOS FOUNDATION, INC.",A,DOMNP,1065 SW 8TH ST,2306,MIAMI,,33130,03272026,,"NORTHWEST REGISTERED AGENT, LLC",ST. PETERSBURG,FL,P,GREENFIELD          DEREK,VP,ALBERT              KATRICE,S,CALDWELL            CASSANDRA,20260403_corporate.txt
L26000175580,GARDENERS DELIGHT LLC,A,FLAL,215 PETTEWAY DRIVE,,LAKELAND,,33805,03252026,,MARCY               CHRISTINE     E,LAKELAND,FL,AMBR,MARCY               CHRISTINE     E,,,,,20260403_corporate.txt
L26000175590,JANS GENERAL REPAIR LLC,A,FLAL,836 AZALEA DR,,ROYAL PALM BEACH,,33411,03262026,,ALONSO MENA         JANS          C,ROYAL PALM BEACH,FL,AMBR,ALONSO MENA         JANS          C,,,,,20260403_corporate.txt
L26000175600,"ROSHELL FERNANDEZ, LLC",A,FLAL,1805 LAKESHORE CIRCLE,,WESTON,,33326,03262026,,FERNANDEZ           ROSHELL,WESTON,FL,AMBR,FERNANDEZ           ROSHELL,,,,,20260403_corporate.txt
L26000175610,MEDCAREFIRST LLC,A,FLAL,401 S ARCTURAS AVE,,CLEARWATER,,33765,04012026,,MCANALLEN           WILLIAM,CLEARWATER,FL,MGR,MCANALLEN           WILLIAM,,,,,20260403_corporate.txt
L26000175620,"CHIOCCO LABOR, LLC",A,FLAL,5171 NW 159TH ST UNIT E,,MIAMI GARDENS,,33014,04022026,,"CREATIVE TAX SERVICES, LLC",MIAMI LAKES,FL,MGR,CRUZ                JOSEPH,,,,,20260403_corporate.txt
M26000005220,REFINED CATALYST SOLUTIONS LLC,A,FORL,1120 ONEIL DR,,HEBRON,,43025,04022026,,"CAPITOL CORPORATE SERVICES, INC.",TALLAHASSEE,FL,MBR,WORKMAN             AMBER,MBR,DUANE               SEAN,MBR,GLASER              JOEL,20260403_corporate.txt
L26000175630,"PROOFED IN THE SOUTH, LLC",A,FLAL,8978 ROYAL RIVER CIRCLE,,PARRISH,,34219,03262026,,HOFMANN             ROBIN,PARRISH,FL,AMBR,HOFMANN             ROBIN,AMBR,BYSTEDT             MATTHEW       D,,,20260403_corporate.txt
N26000004560,HEAVEN MOVES INC.,A,DOMNP,8325 NW 40TH CT,,CORAL SPRINGS,,33065,03272026,,BARRERA             STEPHANIE     M,CORAL SPRINGS,FL,D,BARRERA             STEPHANIE     M,D,BARRERA             MICHELLE      M,D,HARDY               ABIGAIL       M,20260403_corporate.txt
L26000175640,"AMERICA'S AUTO AUCTION PENSACOLA, INC.",A,FLAL,TWO MERIDIAN PLAZA,"10401 N. MERIDIAN STREET, SUITE 400",CARMEL,,46290,12162009,,C T CORPORATION SYSTEM,PLANTATION,FL,AMBR,"AUTOMOTIVE REMARKETING GROUP, INC",,,,,20260403_corporate.txt
L26000175650,ROYAL INTERNATIONAL HOLDINGS LLC,A,FLAL,2548 NW 96TH DR,103,GAINESVILLE,,32606,03262026,,RODRIGUEZ           ALEJANDRO,GAINESVILLE,FL,MGR,RODRIGUEZ           ALEJANDRO,MGR,RODRIGUEZ           JUAN PABLO,,,20260403_corporate.txt
L26000175660,CARLSON CARPENTRY & CONTRACTING LLC,A,FLAL,3736 CHIARA DRIVE,,TITUSVILLE,,32796,03262026,,CARLSON             RICHARD       W,TITUSVILLE,FL,AMBR,CARLSON             RICHARD       W,AP,CARLSON             ERIKA         P,,,20260403_corporate.txt
L26000175670,LUCRATIVE BRANDS LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,20260403_corporate.txt
L26000175680,DI LUXE SKIN & NAIL LLC,A,FLAL,16040 NW 18 TH CT,,MIAMI GARDENS,,33054,03262026,,SUAREZ HERNANDEZ    DIANELYS,MIAMI GARDENS,FL,MGR,SUAREZ HERNANDEZ    DIANELYS,,,,,20260403_corporate.txt
L26000175690,2151 NW 1 TERR LLC,A,FLAL,C/O HARRISON DEMAIRA,1761 W FLAGLER STREET,MIAMI,,33135,04012026,,RAMIREZ             MANUEL        AESQ,CORAL GABLES,FL,MGR,VILLASUSO           MAURICIO,MGR,DEMAIRA             HARRISON,,,20260403_corporate.txt
L26000175700,BIBIS FOOD CART LLC,A,FLAL,10140 W OZELLO TRAIL,,CRYSTAL RIVER,,34429,03262026,,ASHLINE             MARIAH,CRYSTAL RIVER,FL,AMBR,ASHLINE             MARIAH,AMBR,VELEZ               PEDRO,,,20260403_corporate.txt
L26000175710,"SNELL 323, LLC",A,FLAL,5810 BIMINI WAY S,,SAINT PETE BEACH,,33706,04012026,,GRAY                WILLIAM,SAINT PETE BEACH,FL,AMBR,GRAY                WILLIAM,,,,,20260403_corporate.txt
L26000175720,"ALWAYS SERVING ALL PEOPLE PSYCHIATRY, LLC",A,FLAL,7315 TIGER TRAIL CT,,SUN CITY CENTER,,33573,04042026,,GARCIA              ALICIA,SUN CITY CENTER,FL,AMBR,GARCIA              ALICIA,,,,,20260403_corporate.txt
L26000175730,"FLAMINGOS REST, LLC",A,FLAL,418 SE KRUEGER PKWY,,STUART,,34996,03312026,,NYE                 TERESA        B,STUART,FL,MGR,NYE                 TERESA,,,,,20260403_corporate.txt
P26000017500,"ACKERSON REGNUM ENTERPRISE, INC.",A,DOMP,12900 BROXTON BAY DR,APT 413,JACKSONVILLE,,32218,03272026,,ACKERSON            SHANIKA       N,JACKSONVILLE,FL,P,ACKERSON            SHANIKA       N,,,,,20260403_corporate.txt
L26000175740,"QUAINT AND CROCHET, LLC",A,FLAL,1447 RIVERGATE DR,,JACKSONVILLE,,32223,03242026,,INC AUTHORITY RA,ORLANDO,FL,MGR,GIL                 DEVORA,,,,,20260403_corporate.txt
F26000001990,HOLY GROVE CO,A,FORP,"9701 COLLINS AVE, 2101",,MIAMI,,33154,04022026,,"VCORP AGENT SERVICES, INC.",PLANTATION,FL,CEO,PRICE               KYLE,,,,,20260403_corporate.txt
L26000175750,"TCB PAINTING & HANDYMAN SERVICES, LLC",A,FLAL,608 BENEDICTINE TERRACE,,SEBASTIAN,,32958,03242026,,INC AUTHORITY RA,ORLANDO,FL,MGR,YOUNG               CHARLES,MGR,KINDELL             WILLIAM,,,20260403_corporate.txt
L26000175760,"FOSSIL AND GEM FORGE, LLC",A,FLAL,621 GARDENVIEW COURT,,PENSACOLA,,32506,03242026,,INC AUTHORITY RA,ORLANDO,FL,MGR,BURGETT             MATTHEW,MGR,EVANS               GREG,,,20260403_corporate.txt
L26000175770,BASH BOUTIQUE LLC.,A,FLAL,7310 SAN MORITZ DR,,"PORT RICHEY,",,34668,03162026,,RODRIGUEZ           ALLIANA,PORT RICHEY,FL,MGR,RODRIGUEZ           ALLIANA       R,MGR,LOZANO              MARIA,,,20260403_corporate.txt
P26000017510,ASHVE CORP,A,DOMP,5955 NW 105TH CT,S-212,DORAL,,33178,03272026,,HERNANDEZ VILLAFANE VALENTINA,DORAL,FL,P,HERNANDEZ VILLAFANE VALENTINA,,,,,20260403_corporate.txt
L26000175780,"NEXTWAVE VENDING SOLUTIONS, LLC",A,FLAL,2431 W 70TH ST,,HIALEAH,,33016,03252026,,INC AUTHORITY RA,ORLANDO,FL,MGR,ALFONSO             MICHAEL,,,,,20260403_corporate.txt
P26000017520,"MESA SERVICES 56, CORP",A,DOMP,10275 SW 37TH STREET,,MIAMI,,33165,03272026,,MESA CALERO         RUDY          Y,MIAMI,FL,P/D,MESA CALERO         RUDY,,,,,20260403_corporate.txt
L26000175790,"STEVENSON DIGITAL, LLC",A,FLAL,933 W KALMIA DR,APT D2,LAKE PARK,,33403,03242026,,INC AUTHORITY RA,ORLANDO,FL,MGR,JEAN JACQUES        STEVENSON,,,,,20260403_corporate.txt
P26000017530,SHOCK ELITE BASKETBALL CLUB CORPORATION,A,DOMP,1313 NORTHWEST 15TH AVENUE,,FORT LAUDERDALE,,33313,03272026,,HALL                MAURICE,FORT LAUDERDALE,FL,CEO,HALL                MAURICE       R,VP,MERCIDIEU           MARSHA        A,,,20260403_corporate.txt
L26000175800,"ICARE YOURCARE HEALTH SERVICES, LLC",A,FLAL,11112 KEMPTON VISTA DR,,RIVERVIEW,,33579,03252026,,INC AUTHORITY RA,ORLANDO,FL,MGR,MCCORD              YOLONDA,,,,,20260403_corporate.txt
M26000005230,BD NORA MANAGEMENT LLC,A,FORL,1135 NORTH RAILROAD AVENUE,,WEST PALM BEACH,,33401,04022026,,CORPORATE CREATIONS NETWORK INC,NORTH PALM BEACH,FL,MGR,BORN                RICHARD,,,,,20260403_corporate.txt
L26000175810,"FSYER, LLC",A,FLAL,4500 ISLAND ROAD,,MIAMI,,33137,04012026,,"THE ELIAS LAW FIRM, PLLC",MIAMI LAKES,FL,MGR,ACHI                RAMZI,,,,,20260403_corporate.txt
L26000175820,6095 NW 167 ST D5 LLC,A,FLAL,"16100 EMERALD ESTATES DR., APT. 282      `",,WESTON,,33331,04022026,,EXCELSIOR CORPORATE SERVICES LLC,CORAL GABLES,FL,AMBR,MARIA DE LOURDES DE OLIVEIRA,,,,,20260403_corporate.txt
P26000017540,WINGS GLOBAL ALLIANCE INC.,A,DOMP,202 AIRPORT DR E,,SEBASTIAN,,32958,03282026,,REGISTERED AGENTS INC.,ST. PETERSBURG,FL,P,FLIGHT PATH HOLDINGS LLC,VP,RUSSELL             NORM,VP,FISHER              STEPHEN,20260403_corporate.txt
